Fecha date,NOMAGENTE,PLAZO,AGENTE,EXCEPCION,TASA1,Plazo real (días calendario), CASE  WHEN DESCRIPCION TASA = 'Tasa efectiva' THEN 'Tasa efectiva %' ELSE 'Tasa nominal %' END
2008-07-01,The Royal Bank of Scotland S.A.,1,008,,"       9,224",,Tasa nominal %
2008-07-02,The Royal Bank of Scotland S.A.,1,008,,"       9,227",,Tasa nominal %
2008-07-03,The Royal Bank of Scotland S.A.,1,008,,"       9,225",,Tasa nominal %
2008-07-04,The Royal Bank of Scotland S.A.,1,008,,"       9,226",,Tasa nominal %
2008-07-07,The Royal Bank of Scotland S.A.,1,008,,"       9,227",,Tasa nominal %
2008-07-08,The Royal Bank of Scotland S.A.,1,008,,"       9,228",,Tasa nominal %
2008-07-09,The Royal Bank of Scotland S.A.,1,008,,"       9,230",,Tasa nominal %
2008-07-10,The Royal Bank of Scotland S.A.,1,008,,"       9,231",,Tasa nominal %
2008-07-11,The Royal Bank of Scotland S.A.,1,008,,"       9,233",,Tasa nominal %
2008-07-14,The Royal Bank of Scotland S.A.,1,008,,"       9,231",,Tasa nominal %
2008-07-15,The Royal Bank of Scotland S.A.,1,008,,"       9,230",,Tasa nominal %
2008-07-16,The Royal Bank of Scotland S.A.,1,008,,"       9,231",,Tasa nominal %
2008-07-17,The Royal Bank of Scotland S.A.,1,008,,"       9,228",,Tasa nominal %
2008-07-18,The Royal Bank of Scotland S.A.,1,008,,"       9,230",,Tasa nominal %
2008-07-21,The Royal Bank of Scotland S.A.,1,008,,"       9,226",,Tasa nominal %
2008-07-22,The Royal Bank of Scotland S.A.,1,008,,"       9,223",,Tasa nominal %
2008-07-23,The Royal Bank of Scotland S.A.,1,008,,"       9,224",,Tasa nominal %
2008-07-24,The Royal Bank of Scotland S.A.,1,008,,"       9,225",,Tasa nominal %
2008-07-25,The Royal Bank of Scotland S.A.,1,008,,"       9,225",,Tasa nominal %
2008-07-28,The Royal Bank of Scotland S.A.,1,008,,"       9,410",,Tasa nominal %
2008-07-29,The Royal Bank of Scotland S.A.,1,008,,"       9,420",,Tasa nominal %
2008-07-30,The Royal Bank of Scotland S.A.,1,008,,"       9,440",,Tasa nominal %
2008-07-31,The Royal Bank of Scotland S.A.,1,008,,"       9,414",,Tasa nominal %
2008-08-01,The Royal Bank of Scotland S.A.,1,008,,"       9,423",,Tasa nominal %
2008-08-04,The Royal Bank of Scotland S.A.,1,008,,"       9,430",,Tasa nominal %
2008-08-05,The Royal Bank of Scotland S.A.,1,008,,"       9,426",,Tasa nominal %
2008-08-06,The Royal Bank of Scotland S.A.,1,008,,"       9,430",,Tasa nominal %
2008-08-08,The Royal Bank of Scotland S.A.,1,008,,"       9,431",,Tasa nominal %
2008-08-11,The Royal Bank of Scotland S.A.,1,008,,"       9,430",,Tasa nominal %
2008-08-12,The Royal Bank of Scotland S.A.,1,008,,"       9,430",,Tasa nominal %
2008-08-13,The Royal Bank of Scotland S.A.,1,008,,"       9,430",,Tasa nominal %
2008-08-14,The Royal Bank of Scotland S.A.,1,008,,"       9,430",,Tasa nominal %
2008-08-15,The Royal Bank of Scotland S.A.,1,008,,"       9,427",,Tasa nominal %
2008-08-19,The Royal Bank of Scotland S.A.,1,008,,"       9,430",,Tasa nominal %
2008-08-20,The Royal Bank of Scotland S.A.,1,008,,"       9,430",,Tasa nominal %
2008-08-21,The Royal Bank of Scotland S.A.,1,008,,"       9,430",,Tasa nominal %
2008-08-22,The Royal Bank of Scotland S.A.,1,008,,"       9,430",,Tasa nominal %
2008-08-25,The Royal Bank of Scotland S.A.,1,008,,"       9,430",,Tasa nominal %
2008-08-26,The Royal Bank of Scotland S.A.,1,008,,"       9,429",,Tasa nominal %
2008-08-27,The Royal Bank of Scotland S.A.,1,008,,"       9,430",,Tasa nominal %
2008-08-28,The Royal Bank of Scotland S.A.,1,008,,"       9,405",,Tasa nominal %
2008-08-29,The Royal Bank of Scotland S.A.,1,008,,"       9,400",,Tasa nominal %
2008-09-01,The Royal Bank of Scotland S.A.,1,008,,"       9,400",,Tasa nominal %
2008-09-02,The Royal Bank of Scotland S.A.,1,008,,"       9,400",,Tasa nominal %
2008-09-03,The Royal Bank of Scotland S.A.,1,008,,"       9,400",,Tasa nominal %
2008-09-04,The Royal Bank of Scotland S.A.,1,008,,"       9,420",,Tasa nominal %
2008-09-05,The Royal Bank of Scotland S.A.,1,008,,"       9,405",,Tasa nominal %
2008-09-08,The Royal Bank of Scotland S.A.,1,008,,"       9,409",,Tasa nominal %
2008-09-09,The Royal Bank of Scotland S.A.,1,008,,"       9,410",,Tasa nominal %
2008-09-10,The Royal Bank of Scotland S.A.,1,008,,"       9,412",,Tasa nominal %
2008-09-11,The Royal Bank of Scotland S.A.,1,008,,"       9,405",,Tasa nominal %
