Clasificación de la Entidad,Código de Clasificación de la Entidad,Cuenta,Clase de Cuenta,Código de Cuenta,Tipo de Cuenta,Año semana,Tasa,Formato Id,Monto,Orden,Total
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200218,"28,2081105804742",500,"70244,74509",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200219,"28,0363740144588",500,"88912,32795",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200220,"28,2494761724286",500,"100267,51427",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200221,"28,1497352102622",500,"104655,83405",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200222,"28,0522821042593",500,"124764,68446",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200223,"27,7612228547316",500,"98882,80986",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200224,"27,9652074212489",500,"80411,1265",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200225,"28,0565954770797",500,"114349,80572",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200226,"27,8270880467346",500,"122081,64455",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200227,"27,7132061296005",500,"71597,57568",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200228,"27,9121587837888",500,"95977,39471",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200229,"27,7405369394762",500,"102225,20785",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200230,"27,7051848150014",500,"97487,97214",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200231,"27,6485308651607",500,"86328,47232",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200232,"27,6816408352315",500,"69916,04857",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200233,"27,7487687156916",500,"99642,55405",999950,"12,8621447900894"
