Año(aaaa)-Mes(mm),Id Periodicidad,Tipo,Descripcion Nivel_1_español,Descripcion Nivel_2_español,Codigo Nivel_ 1,Codigo Nivel_ 2,Descripcion Nivel_3_español,Codigo Nivel_ 3,Valor,Version,Descripcion español
2021-01-31,3,MONETARIO,Base monetaria,Efectivo,6,1,,,"90709,52328229",Última,miles de millones de pesos colombianos
2021-01-31,3,MONETARIO,Base monetaria,Reserva Bancaria,6,2,,,"31675,66078871",Última,miles de millones de pesos colombianos
2021-01-31,3,MONETARIO,Base monetaria,Total,6,3,,,"122385,184071",Última,miles de millones de pesos colombianos
2021-01-31,3,MONETARIO,Bonos en poder del Banco de la República,,13,,,,"221,603",Última,miles de millones de pesos colombianos
2021-01-31,3,MONETARIO,CDT en poder el Banco de la República,,12,,,,"4229,3739",Última,miles de millones de pesos colombianos
2021-01-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Bonos <sup>1/</sup>,7,6,,,"31924,16800146",Última,miles de millones de pesos colombianos
2021-01-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuasidineros <sup>1/</sup>,7,2,CDT <sup>1/</sup>,2,"159757,3857217",Última,miles de millones de pesos colombianos
2021-01-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuasidineros <sup>1/</sup>,7,2,Cuentas de ahorro,1,"245989,5365362",Última,miles de millones de pesos colombianos
2021-01-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuasidineros <sup>1/</sup>,7,2,TOTAL<sup>1/</sup>,3,"405746,9222579",Última,miles de millones de pesos colombianos
2021-01-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuentas Corrientes,7,1,Del sector privado,1,"51702,56575486",Última,miles de millones de pesos colombianos
2021-01-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuentas Corrientes,7,1,Del sector público,2,"11088,16960733",Última,miles de millones de pesos colombianos
2021-01-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuentas Corrientes,7,1,Total,3,"62790,73536419",Última,miles de millones de pesos colombianos
2021-01-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cédulas,7,5,,,0,Última,miles de millones de pesos colombianos
2021-01-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Depósitos fiduciarios,7,4,,,"10734,63667584",Última,miles de millones de pesos colombianos
2021-01-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Otros depósitos a la vista,7,3,,,"6865,81007096",Última,miles de millones de pesos colombianos
2021-01-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Total Depósitos en poder del público  <sup>1/</sup>,7,8,,,"518062,27237035",Última,miles de millones de pesos colombianos
