Año(aaaa)-Mes(mm),Promedio,Fin de mes
195001,"1,96","1,96"
195002,"1,96","1,96"
195003,"1,96","1,96"
195004,"1,96","1,96"
195005,"1,96","1,96"
195006,"1,96","1,96"
195007,"1,96","1,96"
195008,"1,96","1,96"
195009,"1,96","1,96"
195010,"1,96","1,96"
195011,"1,96","1,96"
195012,"1,96","1,96"
195101,"1,96","1,96"
195102,"1,96","1,96"
195103,"2,15","2,15"
195104,"2,51","2,51"
195105,"2,51","2,51"
195106,"2,51","2,51"
195107,"2,51","2,51"
195108,"2,51","2,51"
195109,"2,51","2,51"
195110,"2,51","2,51"
195111,"2,51","2,51"
195112,"2,51","2,51"
195201,"2,51","2,51"
195202,"2,51","2,51"
195203,"2,51","2,51"
195204,"2,51","2,51"
195205,"2,51","2,51"
195206,"2,51","2,51"
195207,"2,51","2,51"
195208,"2,51","2,51"
195209,"2,51","2,51"
195210,"2,51","2,51"
195211,"2,51","2,51"
195212,"2,51","2,51"
195301,"2,51","2,51"
195302,"2,51","2,51"
195303,"2,51","2,51"
195304,"2,51","2,51"
195305,"2,51","2,51"
195306,"2,51","2,51"
195307,"2,51","2,51"
195308,"2,51","2,51"
195309,"2,51","2,51"
195310,"2,51","2,51"
195311,"2,51","2,51"
195312,"2,51","2,51"
195401,"2,51","2,51"
195402,"2,51","2,51"
195403,"2,51","2,51"
195404,"2,51","2,51"
195405,"2,51","2,51"
195406,"2,51","2,51"
195407,"2,51","2,51"
195408,"2,51","2,51"
195409,"2,51","2,51"
195410,"2,51","2,51"
195411,"2,51","2,51"
195412,"2,51","2,51"
195501,"2,51","2,51"
195502,"2,51","2,51"
195503,"2,51","2,51"
195504,"2,51","2,51"
195505,"2,51","2,51"
195506,"2,51","2,51"
195507,"2,51","2,51"
195508,"2,51","2,51"
195509,"2,51","2,51"
195510,"2,51","2,51"
195511,"2,51","2,51"
195512,"2,51","2,51"
195601,"2,51","2,51"
195602,"2,51","2,51"
195603,"2,51","2,51"
195604,"2,51","2,51"
195605,"2,51","2,51"
195606,"2,51","2,51"
195607,"2,51","2,51"
195608,"2,51","2,51"
195609,"2,51","2,51"
195610,"2,51","2,51"
195611,"2,51","2,51"
195612,"2,51","2,51"
195701,"2,51","2,51"
195702,"2,51","2,51"
195703,"2,51","2,51"
195704,"2,51","2,51"
195705,"2,51","2,51"
195706,"2,51","2,51"
195707,"4,81","4,8"
195708,"4,9","4,99"
195709,"5,12","5,04"
195710,"5,1","5,06"
195711,"5,2","5,3"
195712,"5,38","5,42"
195801,"5,61","5,88"
195802,"6,01","6,16"
195803,"6,11","6,1"
195804,"6,64","6,64"
195805,"6,77","6,72"
195806,"6,8","6,81"
195807,"6,74","6,63"
195808,"6,52","6,51"
195809,"6,38","6,43"
195810,"6,4","6,41"
195811,"6,42","6,39"
195812,"6,4","6,4"
195901,"6,4","6,4"
195902,"6,4","6,4"
195903,"6,4","6,4"
195904,"6,4","6,4"
195905,"6,4","6,4"
195906,"6,4","6,4"
195907,"6,4","6,4"
195908,"6,4","6,4"
195909,"6,4","6,4"
195910,"6,4","6,4"
195911,"6,4","6,4"
195912,"6,4","6,4"
196001,"6,4","6,4"
196002,"6,4","6,4"
196003,"6,52","6,1"
196004,"6,7","6,7"
196005,"6,7","6,7"
196006,"6,7","6,7"
196007,"6,7","6,7"
196008,"6,7","6,7"
196009,"6,7","6,7"
196010,"6,7","6,7"
196011,"6,7","6,7"
196012,"6,7","6,7"
196101,"6,7","6,7"
196102,"6,7","6,7"
196103,"6,7","6,7"
196104,"6,7","6,7"
196105,"6,7","6,7"
196106,"6,7","6,7"
196107,"6,7","6,7"
196108,"6,7","6,7"
196109,"6,7","6,7"
196110,"6,7","6,7"
196111,"6,7","6,7"
196112,"6,7","6,7"
196201,"6,7","6,7"
196202,"6,7","6,7"
196203,"6,7","6,7"
196204,"6,7","6,7"
196205,"6,7","6,7"
196206,"6,7","6,7"
196207,"6,7","6,7"
196208,"6,7","6,7"
196209,"6,7","6,7"
196210,"6,7","6,7"
196211,"7,54","7,54"
196212,9,9
196301,9,9
196302,9,9
196303,9,9
196304,9,9
196305,9,9
196306,9,9
196307,9,9
196308,9,9
196309,9,9
196310,9,9
196311,9,9
196312,9,9
196401,9,9
196402,9,9
196403,9,9
196404,9,9
196405,9,9
196406,9,9
196407,9,9
196408,9,9
196409,9,9
196410,9,9
196411,9,9
196412,9,9
196501,9,9
196502,9,9
196503,9,9
196504,9,9
196505,9,9
196506,9,9
196507,9,9
196508,9,9
196509,"13,5","13,5"
196510,"13,5","13,5"
196511,"13,5","13,5"
196512,"13,5","13,5"
196601,"13,5","13,5"
196602,"13,5","13,5"
196603,"13,5","13,5"
196604,"13,5","13,5"
196605,"13,5","13,5"
196606,"13,5","13,5"
196607,"13,5","13,5"
196608,"13,5","13,5"
196609,"13,5","13,5"
196610,"13,5","13,5"
196611,"13,5","13,5"
196612,"13,5","13,5"
196701,"13,5","13,5"
196702,"13,5","13,5"
196703,"13,5","13,5"
196704,"13,79","13,89"
196705,"14,07","14,18"
196706,"14,4","14,46"
196707,"14,59","14,7"
196708,"14,84","14,98"
196709,"15,12","15,29"
196710,"15,4","15,51"
196711,"15,63","15,69"
196712,"15,74","15,76"
196801,"15,77","15,78"
196802,"15,84","15,88"
196803,"15,94","15,98"
196804,"16,06","16,12"
196805,"16,19","16,24"
196806,"16,27","16,29"
196807,"16,31","16,35"
196808,"16,39","16,44"
196809,"16,49","16,54"
196810,"16,62","16,68"
196811,"16,76","16,82"
196812,"16,86","16,88"
196901,"16,88","16,9"
196902,"16,94","16,97"
196903,"17,04","17,1"
196904,"17,13","17,13"
196905,"17,17","17,21"
196906,"17,27","17,31"
196907,"17,33","17,38"
196908,"17,44","17,5"
196909,"17,55","17,58"
196910,"17,62","17,63"
196911,"17,69","17,74"
196912,"17,8","17,85"
197001,"17,9","17,95"
197002,18,"18,04"
197003,"18,09","18,14"
197004,"18,2","18,25"
197005,"18,28","18,32"
197006,"18,38","18,42"
197007,"18,48","18,51"
197008,"18,55","18,6"
197009,"18,68","18,76"
197010,"18,82","18,87"
197011,"18,92","18,96"
197012,"19,03","19,09"
197101,"19,15","19,22"
197102,"19,28","19,33"
197103,"19,41","19,49"
197104,"19,56","19,64"
197105,"19,68","19,72"
197106,"19,8","19,87"
197107,"19,97","20,06"
197108,"20,14","20,23"
197109,"20,31","20,38"
197110,"20,46","20,54"
197111,"20,63","20,71"
197112,"20,81","20,91"
197201,"20,99","21,08"
197202,"21,17","21,24"
197203,"21,33","21,42"
197204,"21,5","21,58"
197205,"21,67","21,75"
197206,"21,82","21,9"
197207,"21,96","22,01"
197208,"22,09","22,16"
197209,"22,25","22,33"
197210,"22,39","22,46"
197211,"22,53","22,6"
197212,"22,7","22,79"
197301,"22,28","22,96"
197302,"23,02","23,08"
197303,"23,13","23,2"
197304,"23,25","23,29"
197305,"23,36","23,42"
197306,"23,47","23,52"
197307,"23,6","23,67"
197308,"23,76","23,87"
197309,"23,79","24,07"
197310,"24,18","24,28"
197311,"24,37","24,47"
197312,"24,65","24,79"
197401,"24,95","25,1"
197402,"25,22","25,33"
197403,"25,42","25,47"
197404,"25,5","25,52"
197405,"25,54","25,56"
197406,"25,58","25,61"
197407,"25,64","25,69"
197408,"25,81","26,01"
197409,"26,28","26,57"
197410,"27,01","27,3"
197411,"27,56","27,88"
197412,"28,23","28,63"
197501,"28,87","29,07"
197502,"29,24","29,47"
197503,"29,66","29,86"
197504,"30,05","30,24"
197505,"30,42","30,64"
197506,"30,82",31
197507,"31,18","31,36"
197508,"31,52","31,7"
197509,"31,85","32,02"
197510,"32,17","32,36"
197511,"32,51","32,68"
197512,"32,84","32,96"
197601,"33,1","33,32"
197602,"33,49","33,63"
197603,"33,79","33,95"
197604,"34,1","34,29"
197605,"34,45","34,58"
197606,"34,65","34,7"
197607,"34,89","35,12"
197608,"35,2","35,22"
197609,"35,25","35,29"
197610,"35,41","35,58"
197611,"35,81","36,04"
197612,"36,2","36,32"
197701,"36,37","36,38"
197702,"36,38","36,38"
197703,"36,46","36,59"
197704,"36,54","36,5"
197705,"36,5","36,5"
197706,"36,5","36,5"
197707,"36,51","36,54"
197708,"36,67","36,82"
197709,"36,97","37,14"
197710,"37,23","37,35"
197711,"37,45","37,55"
197712,"37,71","37,96"
197801,"38,03","38,08"
197802,"38,14","38,22"
197803,"38,33","38,42"
197804,"38,49","38,58"
197805,"38,66","38,75"
197806,"38,81","38,87"
197807,"38,95","38,99"
197808,"39,11","39,23"
197809,"39,45","39,75"
197810,"39,98","40,2"
197811,"40,4","40,6"
197812,"40,79",41
197901,"41,15","41,3"
197902,"41,44","41,58"
197903,"41,79","42,02"
197904,"42,21","42,43"
197905,"42,56","42,69"
197906,"42,69","42,71"
197907,"42,74","42,76"
197908,"42,8","42,88"
197909,"42,89",43
197910,"43,14","43,23"
197911,"43,38","43,53"
197912,"43,79",44
198001,"44,16","44,41"
198002,"44,68","44,94"
198003,"45,32","45,62"
198004,"45,82","46,05"
198005,"46,44","46,78"
198006,"47,1","47,32"
198007,"47,52","47,79"
198008,"48,02","48,24"
198009,"48,56","48,92"
198010,"49,23","49,6"
198011,"49,93","50,27"
198012,"50,56","50,92"
198101,"51,08","51,45"
198102,"51,71","51,96"
198103,"52,24","52,49"
198104,"52,71","52,94"
198105,"53,24","53,57"
198106,"53,9","54,18"
198107,"54,57","54,93"
198108,"55,3","55,68"
198109,"56,03","56,39"
198110,"56,79","57,22"
198111,"57,66","58,09"
198112,"58,64","59,07"
198201,"59,5","59,84"
198202,"60,24","60,63"
198203,"60,99","61,4"
198204,"61,82","62,21"
198205,"62,63","63,02"
198206,"63,52","63,84"
198207,"64,25","64,69"
198208,"65,18","65,55"
198209,"65,98","66,42"
198210,"66,99","67,68"
198211,"68,34","68,97"
198212,"69,59","70,29"
198301,"70,9","71,45"
198302,"72,06","72,81"
198303,"73,48","74,19"
198304,"74,89","75,6"
198305,"76,36","77,04"
198306,"77,78","78,51"
198307,"79,22",80
198308,"80,88","81,68"
198309,"82,52","83,4"
198310,"84,26","85,15"
198311,"86,11","86,94"
198312,"87,83","88,77"
198401,"89,79","90,63"
198402,"91,57","92,53"
198403,"93,46","94,47"
198404,"95,42","96,45"
198405,"97,46","98,47"
